'Elapsed time','FECG','UC'
'hh:mm:ss.mmm','mV','mV'
'0:00.978',4.815,0.720
'0:00.980',4.825,0.720
'0:00.982',4.830,0.710
'0:00.984',4.835,0.730
'0:00.986',4.865,0.725
'0:00.988',4.850,0.730
'0:00.990',4.840,0.720
'0:00.992',4.835,0.710
'0:00.994',4.830,0.720
'0:00.996',4.830,0.720
'0:00.998',4.820,0.730
'0:01.000',4.830,0.725
'0:01.002',4.845,0.730
'0:01.004',4.855,0.725
'0:01.006',4.850,0.725
'0:01.008',4.840,0.725
'0:01.010',4.830,0.720
'0:01.012',4.860,0.710
'0:01.014',4.830,0.725
'0:01.016',4.820,0.735
'0:01.018',4.840,0.725
'0:01.020',4.835,0.730
'0:01.022',4.845,0.715
'0:01.024',4.840,0.720
'0:01.026',4.835,0.725
'0:01.028',4.865,0.730
'0:01.030',4.845,0.720
'0:01.032',4.830,0.725
'0:01.034',4.830,0.730
'0:01.036',4.825,0.725
'0:01.038',4.835,0.730
'0:01.040',4.830,0.715
'0:01.042',4.820,0.720
'0:01.044',4.845,0.725
'0:01.046',4.845,0.715
'0:01.048',4.825,0.730
'0:01.050',4.825,0.735
'0:01.052',4.840,0.735
'0:01.054',4.835,0.715
'0:01.056',4.835,0.725
'0:01.058',4.845,0.720
'0:01.060',4.850,0.720
'0:01.062',4.835,0.720
'0:01.064',4.825,0.720
'0:01.066',4.835,0.720
'0:01.068',4.830,0.730
'0:01.070',4.830,0.730
'0:01.072',4.855,0.715
'0:01.074',4.840,0.720
'0:01.076',4.850,0.715
'0:01.078',4.835,0.720
'0:01.080',4.815,0.730
'0:01.082',4.835,0.720
'0:01.084',4.835,0.725
'0:01.086',4.835,0.720
'0:01.088',4.845,0.735
'0:01.090',4.860,0.725
'0:01.092',4.835,0.720
'0:01.094',4.825,0.720
'0:01.096',4.830,0.720
'0:01.098',4.815,0.725
'0:01.100',4.830,0.725
'0:01.102',4.855,0.730
'0:01.104',4.850,0.725
'0:01.106',4.845,0.725
'0:01.108',4.840,0.705
'0:01.110',4.830,0.725
'0:01.112',4.830,0.725
'0:01.114',4.810,0.715
'0:01.116',4.820,0.730
'0:01.118',4.840,0.720
'0:01.120',4.850,0.730
'0:01.122',4.845,0.725
'0:01.124',4.850,0.710
'0:01.126',4.840,0.730
'0:01.128',4.840,0.725
'0:01.130',4.820,0.735
'0:01.132',4.820,0.725
'0:01.134',4.840,0.710
'0:01.136',4.835,0.730
'0:01.138',4.840,0.725
'0:01.140',4.840,0.725
'0:01.142',4.845,0.710
'0:01.144',4.845,0.715
'0:01.146',4.835,0.710
'0:01.148',4.825,0.730
'0:01.150',4.825,0.725
'0:01.152',4.840,0.720
'0:01.154',4.825,0.730
'0:01.156',4.825,0.730
'0:01.158',4.830,0.720
'0:01.160',4.845,0.725
'0:01.162',4.835,0.715
'0:01.164',4.840,0.725
'0:01.166',4.845,0.735
'0:01.168',4.850,0.730
'0:01.170',4.835,0.735
'0:01.172',4.825,0.715
'0:01.174',4.820,0.725
'0:01.176',4.820,0.720
'0:01.178',4.840,0.715
'0:01.180',4.820,0.725
'0:01.182',4.835,0.730
'0:01.184',4.855,0.730
'0:01.186',4.860,0.730
'0:01.188',4.835,0.720
'0:01.190',4.830,0.720
'0:01.192',4.805,0.720
'0:01.194',4.815,0.715
'0:01.196',4.825,0.720
'0:01.198',4.820,0.715
'0:01.200',4.845,0.725
'0:01.202',4.855,0.735
'0:01.204',4.860,0.735
'0:01.206',4.845,0.725
'0:01.208',4.835,0.720
'0:01.210',4.830,0.725
'0:01.212',4.825,0.725
'0:01.214',4.815,0.725
'0:01.216',4.825,0.720
'0:01.218',4.845,0.725
'0:01.220',4.850,0.730
'0:01.222',4.840,0.740
'0:01.224',4.840,0.725
'0:01.226',4.860,0.705
'0:01.228',4.845,0.725
'0:01.230',4.825,0.730
'0:01.232',4.830,0.730
'0:01.234',4.830,0.725
'0:01.236',4.835,0.720
'0:01.238',4.835,0.730
'0:01.240',4.830,0.730
'0:01.242',4.845,0.725
'0:01.244',4.840,0.715
'0:01.246',4.840,0.730
'0:01.248',4.825,0.715
'0:01.250',4.840,0.730
'0:01.252',4.835,0.725
'0:01.254',4.830,0.735
'0:01.256',4.825,0.720
'0:01.258',4.825,0.725
'0:01.260',4.830,0.710
'0:01.262',4.835,0.725
'0:01.264',4.845,0.725
'0:01.266',4.840,0.725
'0:01.268',4.835,0.730
'0:01.270',4.840,0.730
'0:01.272',4.835,0.730
'0:01.274',4.820,0.725
'0:01.276',4.815,0.720
'0:01.278',4.825,0.720
'0:01.280',4.830,0.725
'0:01.282',4.830,0.730
'0:01.284',4.845,0.720
'0:01.286',4.840,0.735
'0:01.288',4.865,0.725
'0:01.290',4.840,0.735
'0:01.292',4.810,0.725
'0:01.294',4.820,0.715
'0:01.296',4.825,0.720
'0:01.298',4.820,0.720
'0:01.300',4.840,0.735
'0:01.302',4.840,0.720
'0:01.304',4.860,0.725
'0:01.306',4.850,0.730
'0:01.308',4.840,0.725
'0:01.310',4.825,0.730
'0:01.312',4.835,0.715
'0:01.314',4.820,0.725
'0:01.316',4.815,0.730
'0:01.318',4.840,0.735
'0:01.320',4.840,0.720
'0:01.322',4.840,0.730
'0:01.324',4.840,0.720
'0:01.326',4.835,0.725
'0:01.328',4.845,0.725
'0:01.330',4.835,0.715
'0:01.332',4.830,0.725
'0:01.334',4.825,0.725
'0:01.336',4.845,0.725
'0:01.338',4.830,0.730
'0:01.340',4.835,0.725
'0:01.342',4.850,0.725
'0:01.344',4.840,0.715
'0:01.346',4.835,0.725
'0:01.348',4.830,0.715
'0:01.350',4.850,0.730
'0:01.352',4.830,0.715
'0:01.354',4.815,0.730
'0:01.356',4.830,0.720
'0:01.358',4.815,0.730
'0:01.360',4.835,0.720
'0:01.362',4.830,0.720
'0:01.364',4.855,0.715
'0:01.366',4.850,0.740
'0:01.368',4.850,0.735
'0:01.370',4.850,0.715
'0:01.372',4.825,0.725
'0:01.374',4.835,0.725
'0:01.376',4.815,0.725
'0:01.378',4.820,0.710
'0:01.380',4.830,0.720
'0:01.382',4.845,0.725
'0:01.384',4.845,0.735
'0:01.386',4.840,0.735
'0:01.388',4.865,0.715
'0:01.390',4.845,0.725
'0:01.392',4.825,0.730
'0:01.394',4.820,0.720
'0:01.396',4.815,0.725
'0:01.398',4.825,0.715
'0:01.400',4.830,0.730
'0:01.402',4.835,0.725
'0:01.404',4.855,0.730
'0:01.406',4.855,0.715
'0:01.408',4.840,0.720
'0:01.410',4.835,0.720
'0:01.412',4.845,0.720
'0:01.414',4.825,0.725
'0:01.416',4.825,0.720
'0:01.418',4.840,0.725
'0:01.420',4.835,0.720
'0:01.422',4.850,0.730
'0:01.424',4.840,0.725
'0:01.426',4.830,0.720
'0:01.428',4.855,0.720
'0:01.430',4.830,0.720
'0:01.432',4.830,0.735
'0:01.434',4.830,0.720
'0:01.436',4.830,0.725
'0:01.438',4.845,0.730
'0:01.440',4.830,0.720
'0:01.442',4.830,0.725
'0:01.444',4.845,0.720
'0:01.446',4.845,0.720
'0:01.448',4.840,0.730
'0:01.450',4.840,0.720
'0:01.452',4.830,0.720
'0:01.454',4.825,0.725
'0:01.456',4.825,0.725
'0:01.458',4.830,0.705
'0:01.460',4.835,0.715
'0:01.462',4.845,0.725
'0:01.464',4.835,0.725
'0:01.466',4.845,0.730
'0:01.468',4.845,0.720
'0:01.470',4.825,0.725
'0:01.472',4.825,0.730
'0:01.474',4.855,0.730
'0:01.476',4.840,0.720
'0:01.478',4.835,0.725
'0:01.480',4.835,0.725
'0:01.482',4.830,0.730
'0:01.484',4.840,0.725
'0:01.486',4.830,0.720
'0:01.488',4.840,0.725
'0:01.490',4.855,0.715
'0:01.492',4.840,0.720
'0:01.494',4.840,0.720
'0:01.496',4.825,0.725
'0:01.498',4.840,0.725
'0:01.500',4.830,0.720
'0:01.502',4.830,0.725
'0:01.504',4.845,0.725
'0:01.506',4.840,0.735
'0:01.508',4.850,0.715
'0:01.510',4.835,0.720
'0:01.512',4.835,0.720
'0:01.514',4.820,0.725
'0:01.516',4.815,0.735
'0:01.518',4.835,0.710
'0:01.520',4.850,0.725
'0:01.522',4.845,0.725
'0:01.524',4.840,0.725
'0:01.526',4.835,0.720
'0:01.528',4.845,0.720
'0:01.530',4.820,0.720
'0:01.532',4.825,0.730
'0:01.534',4.825,0.720
'0:01.536',4.845,0.730
'0:01.538',4.840,0.725
'0:01.540',4.860,0.720
'0:01.542',4.840,0.705
'0:01.544',4.835,0.725
'0:01.546',4.830,0.715
'0:01.548',4.840,0.730
'0:01.550',4.825,0.720
'0:01.552',4.835,0.730
'0:01.554',4.825,0.730
'0:01.556',4.840,0.725
'0:01.558',4.820,0.710
'0:01.560',4.850,0.730
'0:01.562',4.845,0.720
'0:01.564',4.835,0.725
'0:01.566',4.840,0.725
'0:01.568',4.825,0.730
'0:01.570',4.830,0.725
'0:01.572',4.815,0.725
'0:01.574',4.830,0.710
'0:01.576',4.830,0.725
'0:01.578',4.830,0.720
'0:01.580',4.825,0.720
'0:01.582',4.860,0.730
'0:01.584',4.845,0.735
'0:01.586',4.845,0.720
'0:01.588',4.840,0.725
'0:01.590',4.840,0.725
'0:01.592',4.810,0.735
'0:01.594',4.810,0.720
'0:01.596',4.835,0.720
'0:01.598',4.835,0.720
'0:01.600',4.840,0.735
'0:01.602',4.845,0.735
'0:01.604',4.850,0.715
'0:01.606',4.840,0.725
'0:01.608',4.815,0.720
'0:01.610',4.830,0.720
'0:01.612',4.820,0.730
'0:01.614',4.835,0.720
'0:01.616',4.830,0.735
'0:01.618',4.840,0.725
'0:01.620',4.865,0.735
'0:01.622',4.840,0.730
'0:01.624',4.820,0.715
'0:01.626',4.815,0.725
'0:01.628',4.815,0.725
'0:01.630',4.830,0.725
'0:01.632',4.825,0.730
'0:01.634',4.840,0.720
'0:01.636',4.865,0.735
'0:01.638',4.850,0.720
'0:01.640',4.825,0.720
'0:01.642',4.805,0.720
'0:01.644',4.815,0.720
'0:01.646',4.830,0.725
'0:01.648',4.825,0.720
'0:01.650',4.845,0.725
'0:01.652',4.865,0.730
'0:01.654',4.845,0.725
'0:01.656',4.835,0.735
'0:01.658',4.825,0.715
'0:01.660',4.825,0.720
'0:01.662',4.830,0.720
'0:01.664',4.820,0.725
'0:01.666',4.840,0.735
'0:01.668',4.840,0.720
'0:01.670',4.865,0.720
'0:01.672',4.845,0.725
'0:01.674',4.835,0.720
'0:01.676',4.810,0.730
'0:01.678',4.825,0.715
'0:01.680',4.820,0.715
'0:01.682',4.825,0.730
'0:01.684',4.840,0.720
'0:01.686',4.860,0.735
'0:01.688',4.845,0.720
'0:01.690',4.845,0.725
'0:01.692',4.830,0.725
'0:01.694',4.840,0.715
'0:01.696',4.825,0.720
'0:01.698',4.810,0.720
'0:01.700',4.835,0.725
'0:01.702',4.845,0.725
'0:01.704',4.845,0.730
'0:01.706',4.845,0.725
'0:01.708',4.825,0.720
'0:01.710',4.860,0.725
'0:01.712',4.840,0.720
'0:01.714',4.825,0.725
'0:01.716',4.825,0.720
'0:01.718',4.820,0.735
'0:01.720',4.835,0.720
'0:01.722',4.830,0.720
'0:01.724',4.835,0.720
'0:01.726',4.850,0.715
'0:01.728',4.845,0.730
'0:01.730',4.835,0.715
'0:01.732',4.830,0.730
'0:01.734',4.845,0.725
'0:01.736',4.825,0.735
'0:01.738',4.825,0.725
'0:01.740',4.835,0.710
'0:01.742',4.830,0.725
'0:01.744',4.835,0.720
'0:01.746',4.830,0.720
'0:01.748',4.825,0.725
'0:01.750',4.855,0.725
'0:01.752',4.835,0.730
'0:01.754',4.820,0.720
'0:01.756',4.835,0.730
'0:01.758',4.825,0.725
'0:01.760',4.835,0.720
'0:01.762',4.835,0.715
'0:01.764',4.825,0.725
'0:01.766',4.865,0.735
'0:01.768',4.835,0.720
'0:01.770',4.815,0.725
'0:01.772',4.835,0.725
'0:01.774',4.830,0.720
'0:01.776',4.835,0.725
'0:01.778',4.835,0.715
'0:01.780',4.845,0.725
'0:01.782',4.850,0.730
'0:01.784',4.840,0.730
'0:01.786',4.830,0.725
'0:01.788',4.830,0.725
'0:01.790',4.845,0.725
'0:01.792',4.835,0.720
'0:01.794',4.830,0.715
'0:01.796',4.845,0.720
'0:01.798',4.840,0.730
'0:01.800',4.830,0.740
'0:01.802',4.815,0.735
'0:01.804',4.840,0.715
'0:01.806',4.840,0.725
'0:01.808',4.835,0.720
'0:01.810',4.835,0.730
'0:01.812',4.835,0.725
'0:01.814',4.835,0.710
'0:01.816',4.835,0.730
'0:01.818',4.820,0.725
'0:01.820',4.835,0.730
'0:01.822',4.855,0.730
'0:01.824',4.845,0.715
'0:01.826',4.835,0.720
'0:01.828',4.830,0.725
'0:01.830',4.840,0.715
'0:01.832',4.825,0.730
'0:01.834',4.830,0.720
'0:01.836',4.850,0.725
'0:01.838',4.855,0.725
'0:01.840',4.850,0.715
'0:01.842',4.835,0.720
'0:01.844',4.835,0.710
